Name,Address1,Address2,Area
Royal Victoria Eye & Ear Hospital,Adelaide Rd,,Dublin 2
Da Vinci's Restaurant at Jacobs Inn,Talbot Place,,Dublin 1
La Paloma Restaurant,17B Asdius Row,Temple Bar,Dublin 2
Maldron Hotel,Granby Row,Parnell Square,Dublin 1
Tonys Super Take Away,4 malahide Road,Coolock Village,Dublin 5
Luigi's Takeaway,76 Brookwood Rise,Artane,Dublin 5
Iannelli's Takeaway,6 Bath Street,Irishtown,Dublin 4
Irish Life Assurance Plc,Lower Abbey Street,,Dublin 1
Spar,51-53 Patrick Street,,Dublin 8
Bang Café,11 Merrion Row,,Dublin 2
Chapter One Restaurant,18/19 Parnell Square,,Dublin 1
Blooms Leisure Limited,6 Anglesea Street,Temple Bar,Dublin 2
Oliver St. John Gogarty Restaurant & Bar,58/59 Fleet Street,Temple Bar,Dublin 2
FXB Restaurant,Pembroke Street,,Dublin 2
Bull & Castle,Christchurch,,Dublin 2
Ryan's,Parkgate Street,,Dublin 8
"FXB Restaurant, Berkley Court",Lansdowne Rd,,Dublin 4
Maryfield Nursing Home,Chapelizod,,Dublin 20
Penny's,O'Connell Street,,Dublin 1
Pacinos,18 Suffolk Street,,Dublin 2
Café Carlo II @ Browns,89-90 Lower Gardiner Street,,Dublin 1
Midnight Express,91 Upper Dorset Street,,Dublin 1
Fitzers Restaurant,51 Dawson Street,,Dublin 2
Fitzers Restaurant,40/42 Temple Bar Square,,Dublin 2
Supervalu,Main Street,Ballymun,Dublin 11
Ryan's Sandymount House,1 Sandymount Green,,Dublin 4
Yu San Fang,6 Mary Street,,Dublin 1
Dandelion Café Bar,St. Stephens Green West,,Dublin 2
Central Bank,"Corporate Services Dept, Facilities Management",PO Box 559,Dublin 2
Seagrass Restaurant,South Richmond Street,,Dublin
City Gem,10a Lower Abbey Street,,Dublin 1
Store Street Garda Station,Store Street,,Dublin 1
The Merrion Inn,188 Merrion Road,,Dublin 4
Russells of Ranelagh,60 Ranelagh Road,,Dublin 6
Café Sora,"Unit 3, College Court",Lwr Kevin Street,Dublin 8
Pearl River Chinese Take Away,62 Phibsboro Road,,Dublin 7
Kingfisher Restaurant,166 Parnell Street,,Dublin 1
Spar,365-367 North Circular Road,Phibsboro,Dublin 7
Stockyard Restaurant,Hollybrook Park,Clontarf,Dublin 3
Fire Restaurant,Dawson Street,,Dublin 2
Burger King,39 Grafton Street,,Dublin 2
Ezio's,40 Amiens Street,,Dublin 1
Applegreen,Clonskeagh Road,Clonskeagh,Dublin 6W
Café Togo Powerscourt,12A Clarendon Street,,Dublin 2
Devitts Pub,78 Lower Camden Street,,Dublin 2
The Oval,78 Middle Abbey,,Dublin 1
The Westin Dublin,Westmoreland Street,,Dublin 1
Eircom Telephone House,Marlborough Street,,Dublin 1
Eircom,"Cumberland House, Fenian Street",,Dublin 8
Del-Rio's Café,110 Marlborough Street,,Dublin 1
Alilang Korean Restaurant,102 Parnell Street,,Dublin 1
Georgian Fare Ltd,14 Lower Baggot Street,,Dublin 2
Rotana Café,31 South Richmond Street,Portobello,Dublin 2
St. Margarets Centre/Sisters of Charity,Brookvale Road,Donnybrook,Dublin 4
Mc Donalds,10-11 Grafton Street,,Dublin 2
Bord Gais,Foley Street,,Dublin 1
McDonalds,50/51 Lr O'Connell St,,Dublin 1
McDonalds,62 Upper O'Connell Street,,Dublin 1
Gospoda Polska Ltd,15 Capel Street,,Dublin 1
Patricks Café,50 Serpentine Avenue,Ballsbridge,Dublin 4
Camden Court Hotel,Camden Street,,Dublin 2
Tiger Becs Restaurant,35/36 Dawson Street,,Dublin 2
Londis,"Chancery Hall, North King Street/Church Street",,Dublin 7
The Bamboo Takeaway,109a Ranelagh Village,Ranelagh,Dublin 6
Swasti Food Solutions Ltd,34/35 South William Street,,Dublin 2
Balzac Restaurant,35/36 Dawson Street,,Dublin 2
Diwali Restaurant,"Unit 1, Castle House, South Great Georges Street",,Dublin 2
O'Briens Sandwich Bars,"Unit 5 Harcourt Hall, Charlotte Way",,Dublin 2
Pulau Pinang Restaurant,11-11a Upper  O'Connell Street,,Dublin 1
Harcourt Diner,3 Charlemont Street,,Dublin 2
Mercer Hotel,Lower Mercer Street,,Dublin 2
Hughes Pub,19/20 Chancery Street,,Dublin 7
Zurich Insurance Ireland Ltd,"Zurich House, Ballsbridge Park",Ballsbridge,Dublin 4
Brabazon Trust,2 Gilford Road,Ballsbridge,Dublin 4
Spar Artane,2 Mornington Park,Artane,Dublin 5
Madina Desicurry Company Ltd,60 Mary Street,,Dublin 1
TK's Restaurant,132 Lower Baggot Street,,Dublin 2
Spar Bolton Street,44-45 Bolton Street,,Dublin 7
Surma Restaurant,43 Lower Camden Street,,Dublin 2
Bistro Bianconi,12 Ranelagh Road,,Dublin 6
Brooks Hotel,Drury Street,,Dublin 2
Godfathers Pizza Rathgar,10  Terenure Road East,Terenure,Dublin 6
Godfathers Pizza Rathgar,6 Fields Terrace,Ranelagh,Dublin 6
Istanbul Restaurant,"Unit 8 Epicurean Food Hall, 46 Middle Abbey Street",,Dublin 1
Mama Mia Restaurant,Units 13/14/15 Epicurean Food Hall,46 Middle Abbey Street,Dublin 1
Koh Restaurant & Cocktail Lounge,"7/8 Jervis Street, Millemium Walkway",,Dublin 1
Leeson Inn Downtown,24 Lower Leeson Street,,Dublin 2
Dunne & Crescenzi,11 Seafort Avenue,Sandymount,Dublin 4
Smiths of Phibsboro,14 Phibsboro Road,Phibsboro,Dublin 7
Cosy Take Away,25b Malahide Road,Artane,Dublin 5
Polski Sklep,Earl Street North,,Dublin 1
Bella Pizzeria,22 Lower Liffey Street,,Dublin 1
Eddie Rockets,Unit 16 Phibsboro Shopping Centre,Phibsboro,Dublin 8
Mount Tabor Care Centre & Nursing Home,Sandymount Green,,Dublin 4
New Shanghai Plaza,3 Church Street,Finglas,Dublin 11
Wolfes Café & Wine Store,153 Capel Street,,Dublin 1
The Herbert Park Hotel,Ballsbridge,,Dublin 4
Charleville Lodge,268-272 North Circular Road,Phibsborough,Dublin 7
La Cala Café,Unit 2-3 Ellis Court Business Complex,Ellis Quay,Dublin 7
Clonskeagh House,68 Clonskeagh Road,,Dublin 6
Spar,Fitzwilliam Point,Ringsend,Dublin 4
Hewlett Packard Ireland Ltd,"Belfield Office Park, Beaver Row",,Dublin 4
ESB,"4th Floor, 27 Lower Fitzwilliam Street",,Dublin 2
ESB Bianca Restaurant,"Love Lane, Rear of Clanwilliam House",,Dublin 2
India House,171 Howth Road,,Dublin 3
Gammello Deli & Coffee Shop,33 Ranelagh Village,,Dublin 6
IL Primo,16 Montague,,Dublin
The Mespil Hotel,Mespil Road,,Dublin 4
Spar,Unit 1 & 2 Chandlers Guild,James Street,Dublin 8
Aprile's Take Away,46 South Richmond Street,,Dublin 2
An Post,O'Connell Street,,Dublin 1
New Emerald Court,11 Ranelagh Road,,Dublin 6
Scruffy Murphy's,"1-2 Powers Court, Lower Mount Street",,Dublin 2
Jurys Inn,Christchurch Place,,Dublin 8
The Bankers Bar,16 Trinity Street,,Dublin 2
Honest To Goodness,"25 Market Arcade, Georges Street",,Dublin 2
Cappucino Bar,"10 Sprangers Yard, Temple Bar",,Dublin 2
Best Western Royal Dublin Hotel,Upper O'Connell Street,,Dublin 1
Lansdowne Hotel,27-29 Pembroke Road,Ballsbridge,Dublin 4
Ericsson Head Office Building,Clonskeagh,,Dublin 4
Radio House,Beech Hill,Clonskeagh,Dublin 4
Eurospar Smithfield,72 - 76 North King Street,Smithfield,Dublin 7
Café Bliss,4A Montague Street,,Dublin 2
Gourmet Burger Co.,97 Ranelagh Village,,Dublin 6
Pasta Fresca,2 - 4 Chatham Stree,,Dublin 2
Metro Café,43 South William Street,,Dublin 2
Wagamama,Unit 4B St Stephens Green Shopping Centre,South King Street,Dublin 2
The Goblet,Malahide Road,Artane,Dublin 5
Spar Shop,22/23 Sandymount Green,Sandymount,Dublin 4
Centra Terenure,128 Terenure Road,,Dublin 6 W
Mc Donalds Restaurant,Unit 31 Ilac Centre,,Dublin 1
Hillbillys Takeaway Ltd,17 Fairview,,Dublin 3
Mc Donalds Mary St/Jervis St Corner,,,Dublin 1
Hot Chilli Takeaway,4 Kevin Street Lower,,Dublin 8
Comfort Inn,Smithfield,,Dublin 7
The Westbury Hotel,Grafton Street,,Dublin 2
River Café,Raheny Shopping Centre,,Dublin 5
O'Briens Irish Sandwich Bar,Unit 71 ILAC Centre,Henry Street,Dublin 1
Café Irie,11 Fownes Street,Temple Bar,Dublin 2
The Boars Head,149 Capel Street,,Dublin 1
Park Inn Hotel Dublin,Smithfield Village,,Dublin 7
Ferrari Take Away,2A Thorcastle St,Ringsend,Dublin 4
The  Fitzwilliam Hotel,St Stephens Green,,Dublin 2
"Spar 8 - 12, 13 South Circular Rd",,,Dublin 8
Spar,14 - 17 Ellis Quay,,Dublin 7
Burger King,9/10/11 Upr O'Connell Street,,Dublin 1
Burger King,6 Upr Baggot Street,,Dublin 4
Burger King,53/54 Lower O'Connell Street,,Dublin 4
Burger King,4/5 Grafton Street,,Dublin 2
Burger King,Jervis Street Shopping Centre,,Dublin 1
Burger King,9 Lower Baggot Street,,Dublin 2
Burger King,ILAC Shopping Centre,Parnell Street,Dublin 1
Brasilia Café,Irish Life Centre,Talbot Street,Dublin 1
La Pizza,14A/15 Upper O'Connell Street,,Dublin 1
Subway,140 Lower Rathmines Road,,Dublin 6
Nico's Restaurant,53 Dame Street,,Dublin 2
New Empire Chinese Takeaway,72 Lr Rathmines Road,,Dublin 6
Kylemore Rathmines,Swan Centre,Rathmines,Dublin 6
Speedway,77 Summerhill,,Dublin 1
Leonards Corner Café Bar,117 South Circular Road,,Dublin 8
Clonmore Partnership T/A Days Inn,95-98 Talbot Street,,Dublin 1
Alpine Grill,Maryfield Avenue,Artane,Dublin 5
Clontarf Football & Criket Club,Castle Ave,Clontarf,Dublin 3
The Pantry,64 Talbot Street,,Dublin 1
Blue Goose Bar Restaurant,27A Ormond Quay,,Dublin 7
Murrays Bar Restaurant,33/34 Upr O'Connell Street,,Dublin 1
Shans,6 Crow Street,Temple Bar,Dublin 2
Quinlans Centra,35 Beau Park Square,Clongriffin,Dublin 13
Office of the Revenue Commissioners,85 - 93 Lower Mount Street,,Dublin 2
Silvio's Take Out,Unit 14A Brabazon House,117 Cork Street,Dublin 8
Graingers Public House,51 Talbot Street,,Dublin 1
Thorntons Restaurant,128 St Stephens Green,,Dublin 1
Ramo's Greek Bistro,Unit 17 - 18 Epicurean Foodhall,Middle Abbey Street,Dublin 2
Fortes Take Away,31 Lower Dorset Street,,Dublin 1
Lovinspoon,13 North Fredrick Street,,Dublin 1
Manna Restaurant,138 Parnell Street,,Dublin 1
Kites Restaurant,17 Ballsbridge Terrace,Ballsbridge,Dublin 4
Toast Café Bar,196 Lwr Rathmines Road,Rathmines,Dublin 6
Londis,22 Upr Liffey Street,,Dublin 1
Harrington Hall,70 Harcourt Street,,Dublin 1
The Harcourt Hotel,Harcourt Street,,Dublin 2
Café Sofia,5A Wexford Street,,Dublin 2
AXA Insurance Ltd,Wolfe Tone House,Wolfe Tone Street,Dublin 1
Deli Boutique,49 Highfield Road,Rathgar,Dublin 6
Bad Ass Café,9 Crown Alley,Temple Bar,Dublin 2
Bijou Café Bistro,46/47 Highfield Road,Rathgar,Dublin 6
Our Ladys Hospice Ltd,Harolds Cross,,Dublin 6
Saba To Go,13 Rathgar Road,Rathmines,Dublin 6
Saba Restaurant,26 - 28 Clarendon Street,,Dublin 2
Kebab Klub,6 Marino Mart,Fairview,Dublin 3
Kebab Klub,37 Lower Stephen Street,,Dublin 2
Abrakebabra,28 St Ann Street,,Dublin 2
Abrakebabra,Baggot Street Lower,,Dublin 2
Canton House,Irishtown Road,,Dublin 4
Abrakebabra,11 Rathgar Road,,Dublin 6
Hans Chinese Korean Restaurant,120 Capel Street,,Dublin 1
Terenure Inn,96 Terenure Road North,,Dublin 6
Griffith College Dublin,South Circular Road,,Dublin 8
Centra,James Street,,Dublin 8
Law Society of Ireland,Blackhall Place,,Dublin 7
Spar,108 Cumberland Street,,Dublin 1
Centra Townsend,Unit 2B Hyde Court,Townsend St,Dublin 2
Spar,50 Talbot St,,Dublin 1
Restaurant Ten Fourteen,324 Clontarf Road,Clontarf,Dublin 3
La Maison des Gourmets,15 Castle Market Street,,Dublin 2
The Bridge Café,1A Bridge Street,Ringsend,Dublin 4
The Wild Goose Grill,"1st Floor, 1-5 Sandford Rpad",Ranelagh,Dublin 6
Royal Garden Chinese Restaurant & Take Away,90 Terenure Road East,,Dublin 6
Kebabish Tandoori,39 Lower Clanbrassil Street,,Dublin 8
Roma II,28 Wexford Street,,Dublin 2
La Mere Zou,22 St. Stephens Green,,Dublin 2
Leo Burdocks,"Uni1, Phibsboro Shopping Centre",,Dublin 7
People's Café,46A Capel Street,,Dublin 1
Spar,"Grand Canal Harbour, Longboat Quay",,Dublin 2
Leo Burdocks,"Christchurch, 2 Werburgh Street",,Dublin 8
Leo Burdocks,Unit 20 Swan Centre,Rathmines,Dublin 6
EBS Building Society,2 Burlington Road,,Dublin 4
Phresh Ltd,7a Poolbeg Street,,Dublin 2
Bentleys Oyster Bar & Grill,22 St. Stephens Green,,Dublin 2
The Swedish Food Company,31 Lower Baggot Street,,Dublin 2
Bianconi's,232 Merrion Road,,Dublin 4
Munchies,"Millenium Walkway, Abbey Street",,Dublin 1
Hugo's Restaurant & Wine Bar,6 Merrion Row,,Dublin 2
Eddie Rockets,19/19a Wexford Street,,Dublin 2
National Maternity Hospital,Holles Street,,Dublin 2
Coin De Mare,Unit 1 Moore Street Mallt,58-66 Parnell Street,Dublin 1
Shirley Palace,20 The Plaza,Park West,Dublin 12
IBM Ireland,Oldbrook House,"24-32 Pembroke Road, Ballsbridge",Dublin 4
Sushi,48-49 Clarendon Street,,Dublin 2
Maxxela,5 Centruy Business Park,North Road,Dublin 11
Fish Bar Take Away,85 Cabra Road,,Dublin 7
Quizno's Subs,2 North Earl Street,,Dublin 1
Kanum Thai Ltd,77 Mespil Road,,Dublin 4
China City Take Away,53 Decies Road,Ballyfermot,Dublin 10
DIT,Aungier Street,,Dublin 2
McKee Barracks,Blackhorse Avenue,,Dublin 7
Cathal Brugha Barracks,Rathmines,,Dublin 6
Clontarf Castle Hotel,Castle Avenue,Clontarf,Dublin 3
Hilton Dublin Airport Hotel,Northern Cross Junction,,Dublin 17
The Italian Corner,23-24 Wellington Quay,,Dublin 2
Northbrook House,26 Northbrook Road,Ranelagh,Dublin 6
Dragon House,170 Phibsboro Road,,Dublin 7
Excellent Chinese Take Away,8 Fitzmaurice Road,Glasnevin,Dublin 11
Spar,South Richmond Street,,Dublin 2
KFC,Unit 1 Omni Broadwalk,"Omni Shopping Centre, Santry",Dublin 9
Subway,140 Phibsboro Road,,Dublin 7
Sun Microsystems,Boole House,Eastpoint Business Park,Dublin 3
Seven Wonders,4 Excise Walk,IFSC,Dublin 1
Shang Hai,418 South Circular Road,,Dublin 8
Sarsfield Service Station,250 Sarsfield Road,Ballyfermot,Dublin 10
Spar,1/2 Mayor Street,IFSC,Dublin 1
Spar,62 St Agnes Park,Crumlin,Dublin 12
Londis,1 The Rise,Glasnevin,Dublin 9
Seven Stars,51-52 Capel Street,,Dublin 1
Spar,145-151 Distillery Building,Church Street,Dublin 7
The Green Room Bar,The Liffey Trust Centre,117-126 Sheriff Street Upper,Dublin 1
Spar,40-42 Tonlegee Road,Coolock,Dublin 5
Havana Tapas Bar,Castle House,Sth Great Georges Street,Dublin 2
Centra,2 St. Pappins Road,Glasnevin,Dublin 11
L'Ecrivan Restaurant,109A Lower Baggot Street,,Dublin 2
Spar,3 Elmfield Rise,Clarehall,Dublin 13
Eurospar,129-131 Ballymun Road,,Dublin 9
Fortune Chinese Take Away,13 Prospect Road,Glasnevin,Dublin 9
Chick King,28 South Anne Street,,Dublin 2
Garda Restaurant/Canteen,Garda Headquarters,Phoenix Park,Dublin 8
St. Elizabeth Court,North Circular Road,,Dublin 7
Sunnybank Hotel,68-70 Botanic Avenue,Glasnevin,Dublin 9
KFC,Jervis Food Court,Upper Abbey Street,Dublin 1
KFC,Unit 4 Clarehall Shopping Centre,Malahide Road,Dublin 17
Tenors Grill Room,1 Belmont Avenue,Donnybrook,Dublin 4
Café Topolis,37 Parliament Street,,Dublin 2
Pinocchio Restaurant,Luas Kiosk,Ranelagh,Dublin 6
Garfields Bistro,Merrion Shopping Centre,Merrion Road,Dublin 4
Subway,136 Thomas Street,,Dublin 8
Subway,"9 Fields Terrace,",Ranelagh Triangle,Dublin 6
Apache Pizza,58 Dame Street,,Dublin 2
Dobbins Wine Bistro,15 Stephens Lane,,Dublin 2
Spar,65-67 Collins Avenue West,,Dublin 9
Bradys Terenure,5-9 Terenure Place,Terenure,Dublin 6W
Iskender,3 Talbot Street,,Dublin 1
Bombay Pantry,14 Rathgar Road,Rathgar,Dublin 6
Apache Pizza,81 Glasnevin Avenue,,Dublin 11
Supervalue Killester,169 Howth Road,,Dublin 3
Supervalu Raheny,Raheny Shopping Centre,Howth Road,Dublin 5
Pan Asian,Unit 12 Epicurean Food Hall,Liffey Street,Dublin 1
North Star Hotel,Amiens Street,,Dublin 1
O'Briens Irish Sandwich Bar,Irish Life Mall,Talbot Street,Dublin 1
Pinheads Pizza,104 South Circular Road,,Dublin 8
Raytown Bar / Hobbles End,104 Bridge Street,Ringsend,Dublin 4
Hill 16 Pub,28/29 Middle Gardiner Street,,Dublin 1
Spar,70-72 Talbot Street,,Dublin 1
Plan B,56 Manor Place,Stoneybatter,Dublin 7
Belvedere Hotel,Great Denmark Street,,Dublin 1
Spar,1 Talbot Street,,Dublin 1
Costcutter Express,340A North Circular road,Phibsboro,Dublin 7
Abrakebabra,Unit 1 Phibsboro Place,Phibsboro,Dublin 7
Favourite Fried Chicken,3A Clanbrassil Street Upper,,Dublin 8
McGraths Public House,22 Lower Drumcondra Road,,Dublin 8
Quiznos Sub,32 Wexford Street,,Dublin 2
Royal College of Physicians,6 Kildare Street,,Dublin 2
Highfield Hospital Group,Swords Road,Drumcondra,Dublin 9
Shakespeare Pub,160 Parnell Street,,Dublin 1
Blazing Salads,42 Drury Street,,Dublin 2
The Gate Hotel,80 Parnell Street,,Dublin 1
Hub Café - East Take Out,Unit 5 Brabason Hall,Ardee Street,Dublin 8
Nazareth House,Malahide Road,,Dublin 3
Hibernian Group,One Park Place,Hatch Street,Dublin 2
The Waterloo Pub,36 Upper Baggot Street,Ballsbridge,Dublin 4
Enoteca Delle Lange,24 Lower Ormond Quay,,Dublin 1
Marios Restaurant,2 Sandymount Green,,Dublin 4
Café Java Leeson Street,145 Upper Leeson Street,,Dublin 4
Café Java Shelbourne Road,49 Shelbourne Road,Shelbourne,Dublin 4
Café Java Sandymount,99 Sandymount Village,Sandymount,Dublin 4
Mulligans of Sandymount,86 Sandymount Road,Sandymount,Dublin 4
La Taverna Di Bacco,24 Lower Ormond Quay,,Dublin 1
Financial Regulator,6-8 College Green,,Dublin 2
Gala Summerhill Stores,13-15 Summerhill Parade,,Dublin 1
Shay's Costcutter,410 Collins Avenue,Whitehall,Dublin 9
Enable Ireland,Sandymount Avenue,,Dublin 4
Spar,8 Upper O'Connell Street,,Dublin 1
Sandford Park School,Sandford Road,,Dublin 6
Londis,38 Fassaugh Avenue,Cabra West,Dublin 7
Subway,14 Amiens Street,,Dublin 1
Royal Irish Automobile Club,34 Dawson Street,,Dublin 2
Shell Exploration & Production Ireland Ltd,"Corrib House, 52 Lower Leeson Street",,Dublin 2
Motor Taxation Office,"Block B, Blackhall Walk",Queen Street,Dublin 7
Giannis Take Away,Parkgate Street,,Dublin 7
The Perki Chick,16 Lower Drumcondra Road,,Dublin 9
Applewoods Café,3/4 Weburgh Street,Christchurch,Dublin 8
Brasserie Sixty6,66/67 South Great Georges Street,,Dublin 2
The Ivy House,114 Upper Drumcondra Road,,Dublin 9
Cornerhouse Grill,17 South Great Georges Street,,Dublin 2
Café Togo,Unit 4 Heuston Station,,Dublin 8
Four Star Pizza,17 Main Street,Raheny,Dublin 5
New Land Take Away,740 South Circular Road,,Dublin 8
Centra Royal Canal Park,"Unit 4, Block 4, Pelletstown Avenue",Royal Canal Park,Dublin 15
The Burlington Hotel,Upper Leeson Street,,Dublin 4
The Red Parrot,57/58 Lower Dorset Street,,Dublin 1
The Good Luck Chinese Restaurant,386 North Circular road,,Dublin 7
Centra,62/65 Mountjoy Street,,Dublin 7
Makati Avenue Restaurant,48 Capel Street,,Dublin 1
Namaste India,88 North King Street,,Dublin 7
Clifton Court Hotel,11 Eden Quay,,Dublin 1
Superquinn Ranelagh,30/36 Ranelagh Road,,Dublin 6
Accenture,"Block 3, Grand Canal Plaza",Grand Canal Street,Dublin 4
"Dept. Communcations, Marine & Natural Resources",29-31 Adelaide Road,,Dublin 2
Vermilion Indian Restaurant,94/96 Terenure Road North,,Dublin 6W
Ezio's,12 Bath Avenue,Sandymount,Dublin 4
Monsoon,306/308 Lower Rathmines Road,,Dublin 6
In Cahoots Café,168 Parnell Street,,Dublin 1
Wongs Chinese Restaurant,7 Sandford Road,Ranelagh,Dublin 6
Dominos Pizza,2 Kilmore Road,Artane,Dublin 5
"Spar, The Whitespot","6-7 Finglas Road, Hartes Corner",Glasnevin,Dublin 11
McCauleys,536-538 South Circular Road,Rialto,Dublin 8
Zalax Ltd,2 Store Street,,Dublin 1
Chopsticks Chinese Take Away,107B Malahide  Road,Donnycarney,Dublin 3
Mannings Bakery & Café,39 Thomas Street,,Dublin 1
Barry's Hotel,1-2 Great Denmark Street,,Dublin 1
The Bagel Factory,103 Leeson Street,,Dublin 1
Abrakebabra,23 Temple Bar,,Dublin 1
National Botanic Gardens,Glasnevin,,Dublin 9
Café Moda,192 Lower Rathmines Road,,Dublin 6
Centra,8-11 Stoneybatter,,Dublin 7
The Traditional Pizza & Pasta Company,91 Rathgar Road,,Dublin 6
M & L Chinese Restaurant,13-14 Cathedral Street,,Dublin 1
Christophes Café,Duck Lane,Smithfield,Dublin 7
Locks Restaurant,1 Windsor Terrace,Portobello,Dublin 8
Hilton Dublin,Charlemont Place,,Dublin 2
Academy Plaza Hotel,10-14 Findlater Place,,Dublin 1
Mint Restaurant,47 Ranelagh Road,,Dublin 6
The Independent Pizza Company,28 Lower Drumcondra road,,Dublin 9
Centra,Unit 5 Greeg Court,Parnell Street,Dublin 1
Ernst & Young,Harcourt Centre,Harcourt Street,Dublin 2
KPMG,Stokes Place,St. Stephens Green,Dublin 2
The Duke,9 Duke Street,,Dublin 2
Bar Italia,"IFSC, Unit 2 Burton House",Mayor Square,Dublin 1
Frier Tuck,45 Ballybough Road,,Dublin 3
Presto Takeaway,8 South Lotts Road,,Dublin 4
Caulfield's Hotel,18/19 Dorset Street,,Dublin 1
Four Star Pizza,112 Ranelagh Road,Ranelagh,Dublin 6
Donnybrook Fair,13 Upper Baggot Street,,Dublin 4
McDonalds Northside,Unit 25a Northside Shopping Centre,,Dublin 17
McDonalds,Unit 1 The Maple Centre,Cabra Cross,Dublin 7
Four Star Pizza,51 Shelbourne Road,Ballsbridge,Dublin 4
Charlies 3,29 Westmoreland Street,,Dublin 2
Tastei Citchen,15 Berkeley Road,Phibsborough,Dublin 7
O'Briens Irish Sandwich Bar,55 Shelbourne Road,Ballsbridge,Dublin 4
Little Caesars,59 Harcourt Street,,Dublin 2
Café Leon,14 Trinity Street,,Dublin 2
Café Leon,17 Wicklow Street,,Dublin 2
Seven Restaurant,73 Manor Street,,Dublin 7
Aya Food Bar,88-89 Grafton Street,,Dublin 2
Apache Pizza,14 Maypark,Artane,Dublin 5
O'Briens Irish Sandwich Bar,3 Westmoreland Street,,Dublin 2
Chandni Restaurant,174 Pembroke Road,Ballsbridge,Dublin 4
Eddie Rockets,Unit 284 Lower Rathmines Road,,Dublin 6
Eddie Rockets,"Unit 3 Main Street, Parnell Street",,Dublin 1
Centra Rialto,455/457 South Circular Road,Rialto,Dublin 8
Centra,50 Thomas Street,,Dublin 8
Centra,38 Lower Camden Street,,Dublin 2
Centra,1 Harcourt Green,Charlemont Street,Dublin 2
Bodkins Bar,57 Bolton Street,,Dublin 1
McCloskeys,83/85 Morehampton Road,Donnybrook,Dublin 4
Solas,31 Wexford Street,,Dublin 2
Wok Inn Restaurant,"Unit3, Kings Court",North King Street,Dublin 7
Gruel Restaurant,67/68 Dame Street,,Dublin 2
Shine Bar,40 Wexford Street,,Dublin 2
The Old Jameson Distillery,Bow Street,Smithfield,Dublin 7
Dominos Pizza,70 Willow Park Crescent,Glasnevin,Dublin 11
Dominos Pizza,88-90 Rathmines Road Lower,Rathmines,Dublin 6
China House,4 Clanbrassil Street Upper,,Dublin 8
Vaughan's Eagle House,107 Terenure Road North,,Dublin 6
Porto Belo Bistro,50 Pleasants Street,,Dublin 8
St. Annes Golf Club,Bull Island Nature Reserve,Dollymount,Dublin 5
The Gem,30 Glasnevin Hill,,Dublin 9
Ray's Pizza,18 Harcourt Road,,Dublin 2
Beaumont Chinese Take Away,6 Shantalla Road,Beaumont,Dublin 9
KC Deli,17 Berkeley Road,,Dublin 7
Silvios Foodfare,66 St. Agnes Park,Crumlin,Dublin 12
Salt Cellar,29 Upper Mount Street,,Dublin 2
Beneavin Lodge Nursing Home,Beneavin Road,,Dublin 11
Matassa Take Away,1B Mountjoy Street,,Dublin 7
Barcode,Westwood Club,Clontarf Road,Dublin 3
Skylon Hotel,Upper Drumcondra Road,,Dublin 9
Flannerys,6 Lower Camden Street,,Dublin 2
Juice Vegetarian Restaurant,9 Castle House,South Great Georges Street,Dublin 2
BT,Block C Grand Canal Plaza,Upper Grand Canal Street,Dublin 4
Price Waterhouse Coopers,1 Spencer Dock,North Wall Quay,Dublin 1
Graham O'Sullivan Restaurant,Artane Castle Shopping Centre,Artane,Dublin 5
Graham O'Sullivan Restaurant,Unit 5 Northside Shopping Centre,Coolock,Dublin 17
Spar Rathborne,Unit 3 River Centre,Rathborne,Dublin 15
Apache Pizza,Drumcondra,,Dublin 9
Olesya's Wine Bar,18 Exchequer Street,,Dublin 2
New Century Chinese Take Away,"6 Prospect Road, Hartes Corner",Glasnevin,Dublin 11
Dragon Inn Chinese Take Away,82 Thomas Street,,Dublin 8
Riverhouse Hotel,23-24 Eustace,Temple Bar,Dublin 2
Abrakebabra,7 Unit B Finglas Main Centre,Finglas,Dublin 11
The Bakery,"Unit 3 Pudding Row, Temple Bar",West Essex Street,Dublin 8
Andersons Food Hall & Café,3 The Rise,Glasnevin,Dublin 9
Andersons Creperie,1a Crawford Road,Drumcondra,Dublin 9
MacMahons Mace,61 St. Assams Park,Raheny,Dublin 5
The Church of Ireland College of Education,96 Upper Rathmines Road,Rathmines,Dublin 6
Regency Hotel,Whitehall,,Dublin 9
Fafie's,2 Lower Kevin Street,,Dublin 8
Savoy Take Away,18 Fitzgibbon Street,,Dublin 1
Koishi Restaurant,"1st Floor, 174 Pembroke Road",Ballsbridge,Dublin 4
Eurospar,3 Bath Avenue,,Dublin 4
The Sandwich Market Ltd,27b Parkgate Street,,Dublin 7
Londis,199 Tyrconnell Road,Inchicore,Dublin 8
The Fingal House,284 Glasnevin Avenue,,Dublin 11
Queen of Tarts,4 Cows Lane,Temple Bar,Dublin 8
Spar,134 Milltown Road,Milltown,Dublin 6
Applejacks,14 Terenure Road West,,Dublin 6
Avondale Guest House,40-41 Lower Gardiner Street,,Dublin 1
Glen Guesthouse,84 Lower Gardiner Street,,Dublin 1
Maple Hotel,74-75 Lower Gardiner Street,,Dublin 1
The Long Stone,Townsend Street,,Dublin 2
Residence Private Members Club,41 St. Stephens Green,,Dublin 2
Marks and Spencer,15-20 Grafton Street,,Dublin 2
St. Marys Community Centre,Richmond Hill,Rathmines,Dublin 6
