Name,Address1,Address2,Area
Griffin's Londis,14 - 15 Lower O'Connell Street,,Dublin 1
Griffin's Londis,68 Upper O'Connell Street,,Dublin 2
Griffin's Londis,46 - 49 O'Connell Street,,Dublin 2
Griffin's Londis,109 Grafton Street,,Dublin 2
New Millennium Chinese Restaurant,51 South King Street,,Dublin 2
Carluccio's Ireland Ltd.,52 Dawson Street,,Dublin 2
The Bank,College Green,,Dublin 2
O'Briens Sandwich Bar,23c Dawson Street,,Dublin 2
Lucianos Take-away,72 Aungier Street,,Dublin 2
The Purty Kitchen,35 East Essex Street,,Dublin 2
The Ferryman,35 Sir John Rogerson's Quay,,Dublin 2
The Sporting Emporium Club,Anne's Lane,,Dublin 2
Spar,23 - 25 Upper Baggot Street,,Dublin 4
,Ulster Bank Group,George's Quay,Dublin 2
Lemon Crepe & Coffee Co.,61 Dawson Street,,Dublin 2
Lemon Crepe & Coffee Co.,66 South William Street,,Dublin 2
Acapulco Mexican Restaurant,7 South Great George's Street,,Dublin 2
Keogh's Café,1 - 2 Trinity Street,,Dublin 2
Govinda's,18 Merrion Row,,Dublin 2
Labond Ltd. t/a Botticelli Restaurant,3 Temple Bar,,Dublin 2
Permanent TSB,56 - 59 St. Stephen's Green,,Dublin 2
Eddie Rockets (Ireland) Ltd.,Donnybrook,,Dublin 2
Eddie Rockets,Dame Street,,Dublin 2
Spar,Philipsburgh Ave,Fairview,Dublin 3
Exchequer News,19 Exchequer St,,Dublin 2
Fas,27 - 33 Upper Baggot Street,,Dublin 4
The Ginger Man,39/40 Fenian Street,,Dublin 2
Odessa Restaurant,13/14 Dame Court,,Dublin 2
Spar (Grafton Street),115 Grafton Street,,Dublin 2
Spar (Nassau Street),40 Nassau Street,,Dublin 2
Grafton Capital Hotel,Lr Stephen St,,Dublin 2
Five Restaurant,5 South Anne St,,Dublin 2
Spar Marino Mart,Fairview,,Dublin 3
Coopers Restaurant,62 Lr Leeson St,,Dublin 2
O'Briens Irish Sandwich Bars,19A Upper Baggot St,,Dublin 4
O'Briens Irish Sandwich Bars,18 Hogan Place,,
O'Briens Irish Sandwich Bars,Clontarf,,Dublin 3
O'Callaghan Davenport Hotel,Merrion Square,,Dublin 2
O'Callaghan Alexander Hotel,Merrion Square,,Dublin 2
O'Callaghan Mont Clare Hotel,Merrion Square,,Dublin 2
O'Callaghan Stephens Green Hotel,St Stephens Green,,Dublin 2
Jaffa Xpress Café (Dublin) Ltd,10 Burgh Quay,Riverbank,Dublin 2
"Retail Unit, Block 6",Clanwilliam Court,Lower Mount Street,Dublin 2
The Irish Times Buildings,24/28 Tara Street,,Dublin 2
O'Neills Pub,37 Pearse Street,,Dublin 2
Ho Sen,6 Cope Street,Temple Bar,Dublin 2
Campbell Bewley Group,Grafton Street,,Dublin 2
Taste of India,6 South William Street,,Dublin 2
Meaghers Pub,283-285 Richmond Road,Fairview,Dublin 3
Pizza Hut,4 Suffolk Street,,Dublin 2
Picasso Restaurant,1 Vernon Ave,Clontarf,Dublin 3
